GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Coverage with Jacoco,es.unileon.prg1.candyClean,CandyCleanTest,126,9,0,0,0,0,14,1,14,1
Coverage with Jacoco,es.unileon.prg1.candyClean,BackgroundColor,0,84,0,0,0,0,0,1,0,1
Coverage with Jacoco,es.unileon.prg1.candyClean,CandyClean,122,0,12,0,0,0,13,0,7,0
Coverage with Jacoco,es.unileon.prg1.candyClean,MainCandyClean,71,0,4,0,0,0,5,0,3,0
Coverage with Jacoco,es.unileon.prg1.candyClean,Casilla,0,42,0,2,0,0,0,7,0,6
Coverage with Jacoco,es.unileon.prg1.candyClean,AllTests,3,0,0,0,0,0,1,0,1,0
Coverage with Jacoco,es.unileon.prg1.candyClean,ColorTest,0,140,0,0,0,0,0,7,0,7
Coverage with Jacoco,es.unileon.prg1.candyClean,Tablero,1852,0,204,0,0,0,122,0,20,0
Coverage with Jacoco,es.unileon.prg1.candyClean,Color,0,169,1,8,0,0,1,14,0,7
Coverage with Jacoco,es.unileon.prg1.candyClean,Teclado,29,0,0,0,0,0,2,0,2,0
Coverage with Jacoco,es.unileon.prg1.candyClean,candyCleanExceptions,4,0,0,0,0,0,1,0,1,0
Coverage with Jacoco,es.unileon.prg1.candyClean,TableroTest,349,3,0,0,0,0,37,1,37,1
Coverage with Jacoco,es.unileon.prg1.candyClean,CasillaTest,0,114,0,0,0,0,0,7,0,7
Coverage with Jacoco,es.unileon.prg1.candyClean,Interfaz,82,0,6,0,0,0,6,0,3,0
